Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011
Bahrain,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,3.56,3.26,2.95,2.65,2.34,2.12,1.9,1.68,1.46
North Korea,Climate Watch,Agriculture,CH4,MtCO₂e,3.56,3.58,3.6,3.57,3.54,3.79,3.9,4.02,4.02
Papua New Guinea,Climate Watch,Agriculture,N2O,MtCO₂e,3.55,3.67,3.52,3.47,3.64,3.55,3.49,3.49,3.46
Kenya,Climate Watch,Energy,CH4,MtCO₂e,3.54,3.44,3.36,3.28,3.2,3.11,3.03,2.95,2.87
Tanzania,Climate Watch,Land-Use Change and Forestry,N2O,MtCO₂e,3.54,3.17,4.2,4.19,4.63,3.29,3.4,4.29,3.69
Bulgaria,Climate Watch,Agriculture,N2O,MtCO₂e,3.53,3.5,3.5,3.44,3.39,3.25,3.19,2.82,3.62
Sri Lanka,Climate Watch,Bunker Fuels,CO2,MtCO₂e,3.53,3.53,3.53,3.57,2.47,2.8,2.11,2.11,1.56
Uzbekistan,Climate Watch,Industrial Processes,CO2,MtCO₂e,3.53,3.53,3.49,3.38,3.24,3.02,2.87,2.79,2.79
United Kingdom,Climate Watch,Energy,N2O,MtCO₂e,3.5,3.46,3.38,3.4,3.5,3.55,3.58,3.61,3.51
Indonesia,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,3.49,3.27,3.06,2.84,2.63,2.58,2.53,2.49,2.44
Iraq,Climate Watch,Industrial Processes,CO2,MtCO₂e,3.49,3.49,3.49,3.49,3.49,3.14,4.18,3.48,3.54
Burundi,Climate Watch,Land-Use Change and Forestry,CO2,MtCO₂e,3.48,3.48,3.49,3.5,-1.41,-1.41,-1.41,-1.41,-1.41
Honduras,Climate Watch,Electricity/Heat,CO2,MtCO₂e,3.48,3.17,2.77,2.83,3.4,3.19,2.99,2.69,2.73
Nepal,Climate Watch,Industrial Processes,CO2,MtCO₂e,3.44,3.44,2.29,1.91,1.49,1.18,1.14,1.03,0.79
Malawi,Climate Watch,Agriculture,CH4,MtCO₂e,3.38,3.2,2.83,2.74,2.57,2.39,2.26,2.16,2.01
Russia,Climate Watch,Land-Use Change and Forestry,N2O,MtCO₂e,3.38,3.74,2.12,3.75,1.58,3.67,1.55,4.03,3.3
Greece,Climate Watch,Industrial Processes,CO2,MtCO₂e,3.36,3.42,3.69,3.77,3.47,3.82,3.64,3.1,2.43
Moldova,Climate Watch,Electricity/Heat,CO2,MtCO₂e,3.35,3.26,3.01,3.57,3.63,3.28,2.81,3.57,3.53
North Korea,Climate Watch,Electricity/Heat,CO2,MtCO₂e,3.35,2.92,3.3,4.46,3.65,4.6,4.04,5.63,5.57
Sierra Leone,Climate Watch,Land-Use Change and Forestry,CO2,MtCO₂e,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35
Azerbaijan,Climate Watch,Agriculture,N2O,MtCO₂e,3.34,3.48,3.19,3.3,3.34,2.95,2.87,2.84,2.76
Yemen,Climate Watch,Energy,CH4,MtCO₂e,3.33,3.32,2.68,1.96,4.83,13.55,15.14,12.74,15.41
Australia,Climate Watch,Energy,N2O,MtCO₂e,3.32,3.35,3.35,3.28,3.22,3.11,3.16,3.14,3.11
Belgium,Climate Watch,Agriculture,N2O,MtCO₂e,3.32,3.31,3.29,3.34,3.47,3.43,3.36,3.37,3.41
Cambodia,Climate Watch,Industrial Processes,CO2,MtCO₂e,3.32,3.32,2.3,1.42,0.65,0.51,0.51,0.49,0.43
Serbia,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,3.32,4.03,3.62,3.81,3.44,3.65,4.16,4.94,5.63
Mali,Climate Watch,Energy,CO2,MtCO₂e,3.3,3.12,3.06,3.18,1.46,1.26,1.61,1.99,1.97
Myanmar,Climate Watch,Land-Use Change and Forestry,N2O,MtCO₂e,3.3,3.29,4.02,3.58,6.34,5.94,4.62,5.89,3.66
Chile,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,3.29,3.09,2.88,2.68,2.47,2.26,2.05,1.85,1.64
North Korea,Climate Watch,Land-Use Change and Forestry,CO2,MtCO₂e,3.29,3.29,3.29,3.29,3.2,3.2,3.2,3.2,3.19
Greece,Climate Watch,Agriculture,N2O,MtCO₂e,3.28,3.32,3.51,3.45,3.44,3.61,3.74,3.72,4.32
Serbia,Climate Watch,Agriculture,CH4,MtCO₂e,3.28,3.24,3.31,3.31,3.44,3.48,3.4,3.47,3.54
Yemen,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,3.28,3.28,2.64,1.92,4.78,13.46,15.04,12.67,15.33
Guatemala,Climate Watch,Land-Use Change and Forestry,CO2,MtCO₂e,3.27,3.27,3.27,3.27,7.71,7.71,7.71,7.71,7.71
Kazakhstan,Climate Watch,Fugitive Emissions,CO2,MtCO₂e,3.26,4.26,5.03,5.55,7.68,8.17,7.82,8.45,9.57
Namibia,Climate Watch,Agriculture,CH4,MtCO₂e,3.26,3.72,4.15,4.2,3.85,3.98,4.37,7.84,7.13
Cyprus,Climate Watch,Electricity/Heat,CO2,MtCO₂e,3.25,3.3,3.26,3.26,3.0,2.91,2.81,3.52,3.71
Tanzania,Climate Watch,Land-Use Change and Forestry,CH4,MtCO₂e,3.25,2.92,3.86,3.85,4.25,3.02,3.12,3.94,3.39
Haiti,Climate Watch,Energy,CO2,MtCO₂e,3.24,3.21,3.25,3.29,3.2,2.94,2.61,2.39,2.68
Nicaragua,Climate Watch,Agriculture,N2O,MtCO₂e,3.24,3.1,3.14,3.17,3.12,3.02,2.81,2.83,2.68
Cameroon,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,3.21,3.08,3.02,3.33,3.3,2.7,2.45,2.26,2.37
Cuba,Climate Watch,Agriculture,N2O,MtCO₂e,3.21,3.18,3.27,3.3,3.41,3.52,3.34,3.23,3.3
Nepal,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,3.21,4.05,3.19,2.78,2.23,1.94,1.35,1.73,1.45
Saudi Arabia,Climate Watch,Energy,N2O,MtCO₂e,3.21,3.2,3.4,3.48,3.51,3.29,3.09,3.03,2.8
Syria,Climate Watch,Agriculture,CH4,MtCO₂e,3.21,2.96,3.01,3.52,3.69,3.87,3.91,3.93,3.93
Sweden,Climate Watch,Agriculture,CH4,MtCO₂e,3.19,3.25,3.38,3.38,3.38,3.48,3.48,3.5,3.54
Thailand,Climate Watch,Energy,N2O,MtCO₂e,3.19,3.03,2.94,2.87,2.55,2.45,2.4,2.34,2.18
India,Climate Watch,Manufacturing/Construction,CH4,MtCO₂e,3.18,3.11,2.97,2.75,2.66,2.57,2.44,2.24,2.23
Lithuania,Climate Watch,Agriculture,N2O,MtCO₂e,3.18,3.11,3.27,3.24,3.34,3.26,3.2,3.2,3.1
Pakistan,Climate Watch,Energy,N2O,MtCO₂e,3.17,3.12,3.16,2.96,2.78,2.61,2.49,2.43,2.37
Mauritania,Climate Watch,Agriculture,N2O,MtCO₂e,3.16,3.09,3.1,3.16,3.04,2.86,2.89,2.83,2.73
Papua New Guinea,Climate Watch,Electricity/Heat,CO2,MtCO₂e,3.16,3.15,3.16,3.31,2.85,2.49,2.05,1.89,2.04
Republic of Congo,Climate Watch,Fugitive Emissions,CO2,MtCO₂e,3.15,2.98,2.15,2.15,2.22,2.38,2.7,2.98,3.26
Haiti,Climate Watch,Agriculture,CH4,MtCO₂e,3.15,3.14,3.15,3.14,3.05,3.02,3.02,3.01,3.01
Tunisia,Climate Watch,Industrial Processes,CO2,MtCO₂e,3.13,3.13,3.21,3.59,3.79,3.63,2.96,2.93,3.04
Tanzania,Climate Watch,Electricity/Heat,CO2,MtCO₂e,3.12,2.73,2.5,2.57,2.86,2.42,2.85,2.49,1.92
Benin,Climate Watch,Agriculture,CH4,MtCO₂e,3.11,3.06,2.98,2.97,2.85,2.8,2.87,2.71,2.66
Russia,Climate Watch,Land-Use Change and Forestry,CH4,MtCO₂e,3.11,3.44,1.95,3.44,1.45,3.37,1.42,3.71,3.03
Mongolia,Climate Watch,Land-Use Change and Forestry,CO2,MtCO₂e,3.1,3.1,3.09,3.11,3.17,3.17,3.17,3.17,3.17
Nepal,Climate Watch,Energy,CH4,MtCO₂e,3.09,3.04,3.0,2.95,2.91,2.87,2.83,2.53,2.74
Switzerland,Climate Watch,Electricity/Heat,CO2,MtCO₂e,3.08,3.08,3.09,3.1,3.03,3.51,3.64,3.53,3.55
Peru,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,3.08,2.95,3.02,3.37,3.32,3.53,3.25,3.13,3.06
South Africa,Climate Watch,Energy,N2O,MtCO₂e,3.08,3.07,3.1,2.97,3.0,3.07,3.06,2.95,2.87
Zimbabwe,Climate Watch,Energy,CH4,MtCO₂e,3.07,3.02,2.97,2.91,2.86,2.77,2.67,2.59,2.5
Iran,Climate Watch,Energy,N2O,MtCO₂e,3.06,3.09,2.99,2.89,3.07,3.12,2.93,2.79,2.67
Australia,Climate Watch,Industrial Processes,CO2,MtCO₂e,3.03,2.95,3.02,2.97,3.09,3.18,3.26,3.49,3.51
Philippines,Climate Watch,Energy,CH4,MtCO₂e,3.03,3.02,2.97,2.99,2.91,2.96,2.84,2.82,2.81
Equatorial Guinea,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,3.01,4.16,3.41,3.69,3.15,4.19,5.34,6.62,6.52
Eritrea,Climate Watch,Agriculture,CH4,MtCO₂e,3.0,2.99,2.97,2.98,2.94,2.93,2.92,2.89,2.87
Saudi Arabia,Climate Watch,Agriculture,CH4,MtCO₂e,3.0,2.89,2.8,2.77,2.74,2.7,2.81,2.61,2.55
Cameroon,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2.99,2.76,2.52,2.29,2.06,1.86,1.66,1.47,1.27
India,Climate Watch,Industrial Processes,N2O,MtCO₂e,2.98,2.95,2.92,2.88,2.85,2.77,2.68,2.59,2.5
South Korea,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,2.98,2.91,2.7,2.6,2.48,2.69,2.96,2.83,2.65
Mauritius,Climate Watch,Bunker Fuels,CO2,MtCO₂e,2.96,2.78,2.41,1.95,1.72,1.68,1.58,1.54,1.67
Turkmenistan,Climate Watch,Agriculture,N2O,MtCO₂e,2.96,2.75,2.75,2.83,2.79,2.78,2.79,2.76,2.68
Yemen,Climate Watch,Agriculture,N2O,MtCO₂e,2.96,2.98,3.2,3.25,3.23,3.42,3.4,3.27,3.23
United Arab Emirates,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2.95,2.84,2.73,2.61,2.5,2.36,2.21,2.07,1.93
Côte d'Ivoire,Climate Watch,Agriculture,CH4,MtCO₂e,2.95,3.12,3.23,3.7,3.18,3.08,3.5,3.25,3.12
Nepal,Climate Watch,Land-Use Change and Forestry,CO2,MtCO₂e,2.95,2.95,2.94,2.96,3.02,3.02,3.01,3.01,3.01
Dominican Republic,Climate Watch,Agriculture,N2O,MtCO₂e,2.94,3.02,2.9,2.83,2.76,2.64,2.6,2.57,2.67
Serbia,Climate Watch,Agriculture,N2O,MtCO₂e,2.94,2.48,2.94,3.26,2.92,3.15,3.85,3.83,3.29
Oman,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2.93,2.68,2.43,2.19,1.94,1.77,1.6,1.43,1.25
Czech Republic,Climate Watch,Agriculture,CH4,MtCO₂e,2.92,2.92,3.01,3.02,3.0,2.95,2.92,2.91,2.92
Lebanon,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2.91,2.65,2.39,2.13,1.88,1.69,1.5,1.31,1.12
Morocco,Climate Watch,Bunker Fuels,CO2,MtCO₂e,2.9,2.77,2.59,2.48,2.48,2.36,2.19,2.04,2.22
China,Climate Watch,Electricity/Heat,CH4,MtCO₂e,2.89,2.62,2.42,2.15,1.99,1.94,1.88,1.71,1.65
Jamaica,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2.89,2.81,2.72,2.81,2.6,2.48,2.59,2.72,2.97
Austria,Climate Watch,Bunker Fuels,CO2,MtCO₂e,2.88,2.51,2.26,2.33,2.14,1.99,2.0,2.09,2.14
Iraq,Climate Watch,Bunker Fuels,CO2,MtCO₂e,2.85,2.71,2.72,2.78,2.21,2.11,1.7,1.49,2.81
Bahamas,Climate Watch,Energy,CO2,MtCO₂e,2.84,2.8,2.17,2.04,2.21,2.52,2.81,3.55,2.57
Belgium,Climate Watch,Industrial Processes,CO2,MtCO₂e,2.82,2.53,2.29,2.44,2.35,2.64,2.54,2.64,2.76
Algeria,Climate Watch,Fugitive Emissions,N2O,MtCO₂e,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82
Yemen,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2.82,2.6,3.15,3.63,4.59,7.5,8.37,7.34,7.29
Egypt,Climate Watch,Bunker Fuels,CO2,MtCO₂e,2.8,2.58,2.33,1.56,2.23,2.69,2.63,3.79,3.75
North Korea,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2.79,2.67,2.55,2.43,2.31,2.25,2.19,2.13,2.07
Côte d'Ivoire,Climate Watch,Agriculture,N2O,MtCO₂e,2.77,2.9,2.94,3.53,2.94,2.84,3.24,3.02,2.97
Qatar,Climate Watch,Fugitive Emissions,CO2,MtCO₂e,2.77,2.07,2.13,2.24,2.3,2.6,2.99,3.16,3.52
Australia,Climate Watch,Fugitive Emissions,CO2,MtCO₂e,2.76,1.71,1.31,1.45,2.26,2.26,1.59,1.72,1.09
Italy,Climate Watch,Energy,N2O,MtCO₂e,2.76,2.78,2.72,2.78,2.88,2.87,2.91,3.01,3.05
Venezuela,Climate Watch,Industrial Processes,CO2,MtCO₂e,2.76,2.76,3.17,2.88,3.24,3.13,3.47,3.3,3.04
Spain,Climate Watch,Energy,N2O,MtCO₂e,2.72,2.81,2.74,2.62,2.6,2.52,2.5,2.99,2.99
Syria,Climate Watch,Agriculture,N2O,MtCO₂e,2.71,2.13,2.25,2.62,2.75,2.91,3.03,3.63,3.79
Algeria,Climate Watch,Industrial Processes,N2O,MtCO₂e,2.68,2.62,2.56,2.5,2.43,1.96,1.48,1.01,0.54
Guyana,Climate Watch,Energy,CO2,MtCO₂e,2.68,2.43,2.32,2.32,2.04,2.06,1.98,2.0,1.83
Serbia,Climate Watch,Energy,CH4,MtCO₂e,2.68,2.7,2.74,2.78,2.79,2.74,2.67,2.65,2.59
Ecuador,Climate Watch,Bunker Fuels,CO2,MtCO₂e,2.66,3.02,1.98,1.78,1.76,2.13,2.02,2.26,2.46
Norway,Climate Watch,Agriculture,N2O,MtCO₂e,2.66,2.63,2.64,2.65,2.64,2.6,2.56,2.56,2.56
Suriname,Climate Watch,Energy,CO2,MtCO₂e,2.64,2.19,2.48,2.95,2.7,2.59,2.24,2.4,1.92
North Korea,Climate Watch,Industrial Processes,CO2,MtCO₂e,2.63,2.63,2.61,2.7,2.56,2.55,2.52,2.43,2.44
Chile,Climate Watch,Bunker Fuels,CO2,MtCO₂e,2.62,2.45,2.29,2.17,2.11,2.6,2.55,2.67,2.91
India,Climate Watch,Fugitive Emissions,CO2,MtCO₂e,2.62,2.68,3.0,4.12,4.4,3.76,3.48,3.82,2.82
Gabon,Climate Watch,Fugitive Emissions,CO2,MtCO₂e,2.61,2.47,2.68,2.79,2.79,2.64,2.44,2.4,2.71
Indonesia,Climate Watch,Industrial Processes,CH4,MtCO₂e,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61
Montenegro,Climate Watch,Energy,CO2,MtCO₂e,2.6,2.5,2.27,2.15,2.36,2.22,2.27,2.33,2.54
Sudan,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,2.6,2.61,2.6,3.02,3.97,4.1,3.97,3.9,7.32
Austria,Climate Watch,Agriculture,N2O,MtCO₂e,2.57,2.55,2.6,2.66,2.64,2.65,2.55,2.55,2.51
Costa Rica,Climate Watch,Agriculture,CH4,MtCO₂e,2.56,2.54,2.5,2.47,2.33,2.32,2.33,2.28,2.37
Laos,Climate Watch,Agriculture,N2O,MtCO₂e,2.56,2.5,2.52,2.61,2.47,2.36,2.37,2.3,2.1
Czech Republic,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2.55,2.77,2.98,3.2,3.0,2.78,2.59,2.47,2.33
Hungary,Climate Watch,Agriculture,CH4,MtCO₂e,2.54,2.53,2.49,2.5,2.47,2.44,2.41,2.29,2.36
Nigeria,Climate Watch,Bunker Fuels,CO2,MtCO₂e,2.54,3.11,2.6,2.34,2.26,2.15,2.25,2.57,2.48
Norway,Climate Watch,Agriculture,CH4,MtCO₂e,2.54,2.51,2.52,2.52,2.47,2.43,2.46,2.47,2.49
Syria,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2.54,2.42,2.31,2.2,2.08,2.0,1.93,1.85,1.77
Poland,Climate Watch,Energy,N2O,MtCO₂e,2.52,2.55,2.46,2.3,2.22,2.18,2.24,2.31,2.35
Syria,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2.51,2.86,3.03,2.77,2.67,3.0,3.23,5.01,6.56
Democratic Republic of the Congo,Climate Watch,Energy,CO2,MtCO₂e,2.5,2.41,2.5,2.32,3.08,5.01,3.79,2.67,2.84
Honduras,Climate Watch,Agriculture,N2O,MtCO₂e,2.5,2.54,2.45,2.39,2.2,2.26,2.32,2.15,2.27
Mongolia,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2.49,1.96,1.77,1.43,1.49,1.89,2.21,2.41,1.99
Tunisia,Climate Watch,Agriculture,N2O,MtCO₂e,2.48,2.38,2.37,2.47,2.34,2.35,2.22,2.47,2.42
Spain,Climate Watch,Energy,CH4,MtCO₂e,2.47,2.47,2.45,2.41,2.4,2.47,2.51,2.51,2.56
Ghana,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2.46,2.27,2.01,1.68,1.79,1.65,1.7,1.64,1.43
Pakistan,Climate Watch,Bunker Fuels,CO2,MtCO₂e,2.46,2.43,2.61,2.52,2.36,2.26,2.56,2.43,2.53
Philippines,Climate Watch,Land-Use Change and Forestry,CO2,MtCO₂e,2.46,2.46,2.46,2.46,2.43,2.43,2.43,2.43,2.43
Chad,Climate Watch,Energy,CH4,MtCO₂e,2.46,2.56,2.38,2.68,2.89,2.26,2.24,2.21,2.27
Romania,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,2.45,2.53,2.54,2.41,2.6,2.64,2.64,2.73,2.77
Lebanon,Climate Watch,Industrial Processes,CO2,MtCO₂e,2.44,2.44,2.4,2.35,2.4,2.61,2.54,2.39,2.58
Mauritius,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2.42,2.47,2.54,2.41,2.39,2.43,2.35,2.26,2.19
Portugal,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2.42,2.64,2.86,3.09,2.93,2.78,2.65,2.48,2.32
Benin,Climate Watch,Agriculture,N2O,MtCO₂e,2.4,2.52,2.17,2.27,2.08,2.13,2.14,2.04,1.99
Libya,Climate Watch,Industrial Processes,CO2,MtCO₂e,2.4,2.4,2.54,1.65,1.94,2.71,0.78,0.76,1.34
Azerbaijan,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2.39,1.35,1.75,2.8,2.32,2.3,2.2,2.18,1.73
Belgium,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2.39,2.62,2.86,3.09,2.99,3.01,2.86,2.86,2.73
Kenya,Climate Watch,Bunker Fuels,CO2,MtCO₂e,2.39,2.3,2.22,2.11,2.16,1.81,1.88,2.33,2.34
Zambia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2.38,2.71,1.9,0.65,0.33,0.3,0.07,0.07,0.07
Mozambique,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,2.36,2.93,2.47,1.91,1.93,1.84,1.85,1.54,1.08
Turkmenistan,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2.35,2.35,2.35,2.35,2.35,2.35,2.22,2.14,1.92
Bolivia,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2.34,2.38,2.35,2.27,2.25,2.24,2.08,1.88,1.75
Cameroon,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2.34,2.61,2.25,2.12,2.03,1.85,1.49,1.22,1.3
Ethiopia,Climate Watch,Bunker Fuels,CO2,MtCO₂e,2.33,2.33,2.17,1.88,1.52,1.45,1.3,1.18,1.01
Panama,Climate Watch,Agriculture,CH4,MtCO₂e,2.33,2.41,2.36,2.41,2.41,2.52,2.66,2.67,2.67
Sierra Leone,Climate Watch,Agriculture,CH4,MtCO₂e,2.33,2.66,2.81,2.92,2.79,2.91,2.69,2.85,2.29
Croatia,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2.32,2.33,2.31,2.15,2.15,2.22,2.27,2.29,2.63
Jamaica,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2.32,2.82,1.81,2.22,2.09,2.32,2.51,1.89,1.98
Lithuania,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2.31,2.49,2.61,2.94,3.22,3.2,3.9,4.49,4.54
Qatar,Climate Watch,Industrial Processes,CO2,MtCO₂e,2.31,2.31,2.52,2.62,2.4,2.12,1.86,1.91,1.77
Guatemala,Climate Watch,Energy,CH4,MtCO₂e,2.3,2.25,2.21,2.1,1.96,1.92,1.88,1.83,1.78
Ecuador,Climate Watch,Industrial Processes,CO2,MtCO₂e,2.29,2.29,2.25,2.21,2.45,2.6,2.61,2.35,2.24
Brazil,Climate Watch,Fugitive Emissions,CO2,MtCO₂e,2.28,2.0,2.2,2.88,2.66,3.07,2.68,3.19,2.69
Serbia,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,2.28,2.31,2.34,2.38,2.41,2.35,2.28,2.22,2.16
Belarus,Climate Watch,Industrial Processes,CO2,MtCO₂e,2.27,1.84,1.99,2.15,2.22,2.72,2.47,2.39,2.19
Democratic Republic of the Congo,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2.27,2.1,1.92,1.74,1.56,1.41,1.26,1.11,0.96
United Kingdom,Climate Watch,Fugitive Emissions,CO2,MtCO₂e,2.24,2.44,2.72,2.7,2.66,2.72,2.73,2.61,2.32
Netherlands,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2.24,2.41,2.59,2.77,2.72,2.62,2.83,2.77,2.88
Afghanistan,Climate Watch,Energy,CH4,MtCO₂e,2.23,2.22,2.21,2.19,2.18,1.98,1.78,1.58,1.38
Afghanistan,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,2.23,2.22,2.21,2.19,2.18,1.98,1.78,1.58,1.38
Bosnia and Herzegovina,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2.23,2.39,2.18,2.05,2.11,2.01,2.23,1.81,1.79
Norway,Climate Watch,Bunker Fuels,CO2,MtCO₂e,2.23,2.36,2.17,1.88,2.21,1.97,2.6,2.24,2.46
Portugal,Climate Watch,Industrial Processes,CO2,MtCO₂e,2.23,2.25,2.53,2.3,2.92,3.1,2.81,2.55,2.81
Turkmenistan,Climate Watch,Fugitive Emissions,CO2,MtCO₂e,2.21,2.47,2.75,3.03,3.03,3.28,3.71,4.03,2.92
Kyrgyzstan,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2.2,1.58,1.5,1.83,2.75,2.28,1.64,1.88,1.77
Australia,Climate Watch,Land-Use Change and Forestry,CO2,MtCO₂e,2.19,2.19,2.19,2.19,-29.44,-29.44,-29.44,-29.44,-29.44
Bahrain,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2.19,2.17,1.96,2.12,2.09,2.23,1.74,1.05,0.79
Namibia,Climate Watch,Agriculture,N2O,MtCO₂e,2.19,2.72,3.14,3.1,2.84,2.89,3.45,7.09,6.49
Kenya,Climate Watch,Industrial Processes,CO2,MtCO₂e,2.18,2.18,2.39,2.6,2.46,2.28,1.97,1.8,1.71
United States,Climate Watch,Manufacturing/Construction,N2O,MtCO₂e,2.18,2.23,2.03,2.03,2.04,2.08,2.07,2.07,2.11
Turkey,Climate Watch,Energy,N2O,MtCO₂e,2.17,2.15,2.13,2.01,1.86,1.71,1.65,1.61,1.48
United Arab Emirates,Climate Watch,Fugitive Emissions,CO2,MtCO₂e,2.14,2.14,1.88,1.63,1.88,1.78,2.36,1.81,1.74
Tanzania,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2.14,1.93,1.83,1.3,1.55,1.44,0.99,0.8,0.81
Republic of Congo,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2.13,1.52,1.34,1.35,1.26,0.46,0.43,0.42,0.3
Niger,Climate Watch,Energy,CO2,MtCO₂e,2.13,1.93,1.89,2.09,2.09,2.14,1.96,1.87,1.38
Tunisia,Climate Watch,Agriculture,CH4,MtCO₂e,2.13,2.16,2.13,2.13,2.19,2.22,2.2,2.2,2.29
Vietnam,Climate Watch,Energy,N2O,MtCO₂e,2.13,1.87,1.61,1.54,1.84,1.7,1.63,1.6,1.6
Portugal,Climate Watch,Agriculture,N2O,MtCO₂e,2.12,2.08,2.39,2.3,2.34,2.37,2.24,2.22,2.15
European Union (27),Climate Watch,Bunker Fuels,N2O,MtCO₂e,2.11,2.09,2.01,1.92,1.83,1.8,1.82,1.88,1.97
Finland,Climate Watch,Agriculture,CH4,MtCO₂e,2.11,2.15,2.24,2.3,2.31,2.31,2.31,2.31,2.32
Maldives,Climate Watch,Energy,CO2,MtCO₂e,2.11,2.1,1.86,1.76,1.37,1.37,1.13,1.14,1.01
Chad,Climate Watch,Energy,CO2,MtCO₂e,2.11,2.06,2.03,2.11,2.31,2.18,2.12,1.8,1.1
Oman,Climate Watch,Industrial Processes,CO2,MtCO₂e,2.1,2.1,1.99,1.92,1.85,1.78,2.02,2.12,1.77
Senegal,Climate Watch,Industrial Processes,CO2,MtCO₂e,2.1,2.1,2.01,2.0,1.79,1.9,2.02,1.79,1.79
Côte d'Ivoire,Climate Watch,Energy,CH4,MtCO₂e,2.08,2.01,2.09,1.98,1.92,2.22,2.3,2.24,2.16
Ecuador,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2.07,2.36,2.1,2.21,3.19,3.73,3.49,3.06,2.89
Iran,Climate Watch,Industrial Processes,N2O,MtCO₂e,2.07,2.02,1.98,1.93,1.88,1.78,1.69,1.59,1.5
Dominican Republic,Climate Watch,Industrial Processes,CO2,MtCO₂e,2.05,2.05,2.04,2.01,2.01,1.95,1.65,1.61,1.56
Uzbekistan,Climate Watch,Industrial Processes,N2O,MtCO₂e,2.04,2.03,2.02,2.02,2.01,2.0,1.99,1.98,1.96
Canada,Climate Watch,Fugitive Emissions,CO2,MtCO₂e,2.03,2.57,2.59,2.51,3.5,3.98,2.97,2.44,4.61
Trinidad and Tobago,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2.02,1.95,2.09,2.03,2.89,3.38,3.4,3.37,3.29
Tunisia,Climate Watch,Energy,CH4,MtCO₂e,2.02,2.09,2.06,2.23,2.4,2.68,2.71,2.84,2.68
Kenya,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2.01,1.86,1.7,1.54,1.38,1.25,1.12,0.99,0.85
Norway,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2.01,1.95,1.89,1.83,1.66,1.69,1.6,1.59,1.6
Ghana,Climate Watch,Energy,CH4,MtCO₂e,2.0,1.84,1.81,1.29,1.39,1.28,1.19,1.05,1.06
Czech Republic,Climate Watch,Industrial Processes,CO2,MtCO₂e,1.98,1.87,1.73,1.7,1.56,1.48,1.33,1.52,1.67
Slovakia,Climate Watch,Energy,CH4,MtCO₂e,1.98,1.8,1.79,1.77,1.68,1.55,1.74,1.58,2.05
