,Country,Carbon,Methane,Nitrogen,FGas
2956,Antigua and Barbuda,0.0,3.29,0.0,0.0
2957,Austria,0.0,3.27,0.0,0.0
2958,Austria,0.0,5.03,0.0,0.0
2959,Austria,0.0,3.26,0.0,0.0
2960,Austria,0.0,3.25,0.0,0.0
2961,Azerbaijan,0.0,3.19,0.0,0.0
2962,Azerbaijan,0.0,3.16,0.0,0.0
2963,Azerbaijan,0.0,2.15,0.0,0.0
2964,Azerbaijan,0.0,3.21,0.0,0.0
2965,Azerbaijan,0.0,2.5,0.0,0.0
2966,Azerbaijan,0.0,3.09,0.0,0.0
2967,Azerbaijan,0.0,3.09,0.0,0.0
2968,Azerbaijan,0.0,3.02,0.0,0.0
2969,Burundi,0.0,3.41,0.0,0.0
2970,Burundi,0.0,2.41,0.0,0.0
2971,Burundi,0.0,2.94,0.0,0.0
2972,Burundi,0.0,2.59,0.0,0.0
2973,Burundi,0.0,2.72,0.0,0.0
2974,Burundi,0.0,2.26,0.0,0.0
2975,Burundi,0.0,2.72,0.0,0.0
2976,Burundi,0.0,2.17,0.0,0.0
2977,Burundi,0.0,2.29,0.0,0.0
2978,Burundi,0.0,3.15,0.0,0.0
2979,Burundi,0.0,2.33,0.0,0.0
2980,Burundi,0.0,2.13,0.0,0.0
2981,Burundi,0.0,1.31,0.0,0.0
2982,Burundi,0.0,3.17,0.0,0.0
2983,Burundi,0.0,2.32,0.0,0.0
2984,Belgium,0.0,1.98,0.0,0.0
2985,Belgium,0.0,2.48,0.0,0.0
2986,Belgium,0.0,2.61,0.0,0.0
2987,Benin,0.0,2.29,0.0,0.0
2988,Benin,0.0,3.0,0.0,0.0
2989,Benin,0.0,2.68,0.0,0.0
2990,Benin,0.0,2.27,0.0,0.0
2991,Benin,0.0,2.6,0.0,0.0
2992,Benin,0.0,3.03,0.0,0.0
2993,Benin,0.0,2.5,0.0,0.0
2994,Benin,0.0,1.77,0.0,0.0
2995,Benin,0.0,2.01,0.0,0.0
2996,Burkina Faso,0.0,2.61,0.0,0.0
2997,Burkina Faso,0.0,2.46,0.0,0.0
2998,Burkina Faso,0.0,2.4,0.0,0.0
2999,Burkina Faso,0.0,2.54,0.0,0.0
3000,Burkina Faso,0.0,2.54,0.0,0.0
3001,Burkina Faso,0.0,1.75,0.0,0.0
3002,Burkina Faso,0.0,2.22,0.0,0.0
3003,Burkina Faso,0.0,1.9,0.0,0.0
3004,Burkina Faso,0.0,2.35,0.0,0.0
3005,Burkina Faso,0.0,2.35,0.0,0.0
3006,Burkina Faso,0.0,2.25,0.0,0.0
3007,Burkina Faso,0.0,2.17,0.0,0.0
3008,Bangladesh,0.0,2.31,0.0,0.0
3009,Bangladesh,0.0,1.81,0.0,0.0
3010,Bangladesh,0.0,2.61,0.0,0.0
3011,Bangladesh,0.0,2.52,0.0,0.0
3012,Bulgaria,0.0,2.25,0.0,0.0
3013,Bulgaria,0.0,2.2,0.0,0.0
3014,Bulgaria,0.0,1.99,0.0,0.0
3015,Bulgaria,0.0,2.72,0.0,0.0
3016,Bulgaria,0.0,2.18,0.0,0.0
3017,Bahrain,0.0,2.17,0.0,0.0
3018,Bahrain,0.0,2.53,0.0,0.0
3019,Bahrain,0.0,2.75,0.0,0.0
3020,Bahrain,0.0,1.5,0.0,0.0
3021,Bahrain,0.0,2.19,0.0,0.0
3022,Bahrain,0.0,1.96,0.0,0.0
3023,Bahrain,0.0,2.39,0.0,0.0
3024,Bahrain,0.0,1.88,0.0,0.0
3025,Bahamas,0.0,1.83,0.0,0.0
3026,Bahamas,0.0,1.34,0.0,0.0
3027,Bahamas,0.0,1.89,0.0,0.0
3028,Bahamas,0.0,1.86,0.0,0.0
3029,Bahamas,0.0,2.03,0.0,0.0
3030,Bahamas,0.0,1.99,0.0,0.0
3031,Bahamas,0.0,2.01,0.0,0.0
3032,Bahamas,0.0,2.1,0.0,0.0
3033,Bahamas,0.0,2.04,0.0,0.0
3034,Bahamas,0.0,2.59,0.0,0.0
3035,Bahamas,0.0,2.09,0.0,0.0
3036,Bahamas,0.0,1.73,0.0,0.0
3037,Bahamas,0.0,2.02,0.0,0.0
3038,Bahamas,0.0,1.53,0.0,0.0
3039,Bosnia and Herzegovina,0.0,1.93,0.0,0.0
3040,Bosnia and Herzegovina,0.0,0.18,0.0,0.0
3041,Bosnia and Herzegovina,0.0,1.52,0.0,0.0
3042,Bosnia and Herzegovina,0.0,1.91,0.0,0.0
3043,Bosnia and Herzegovina,0.0,1.9,0.0,0.0
3044,Bosnia and Herzegovina,0.0,1.84,0.0,0.0
3045,Bosnia and Herzegovina,0.0,1.52,0.0,0.0
3046,Bosnia and Herzegovina,0.0,1.85,0.0,0.0
3047,Bosnia and Herzegovina,0.0,1.73,0.0,0.0
3048,Bosnia and Herzegovina,0.0,0.97,0.0,0.0
3049,Belarus,0.0,1.93,0.0,0.0
3050,Belarus,0.0,1.57,0.0,0.0
3051,Belarus,0.0,1.59,0.01,0.0
3052,Belize,0.0,1.75,0.0,0.0
3053,Belize,0.0,1.8,0.0,0.0
3054,Belize,0.0,1.77,0.0,0.0
3055,Belize,0.0,1.71,0.0,0.0
3056,Belize,0.0,0.97,0.0,0.0
3057,Belize,0.0,1.13,0.0,0.0
3058,Belize,0.0,1.98,0.0,0.0
3059,Belize,0.0,1.71,0.0,0.0
3060,Belize,0.0,1.95,0.0,0.0
3061,Belize,0.0,1.69,0.0,0.0
3062,Belize,0.0,1.78,0.0,0.0
3063,Bolivia,0.0,1.63,0.0,0.0
3064,Bolivia,0.0,1.76,0.0,0.0
3065,Bolivia,0.0,1.52,0.0,0.0
3066,Bolivia,0.0,1.51,0.0,0.0
3067,Bolivia,0.0,1.62,0.0,0.0
3068,Barbados,0.0,1.64,0.0,0.0
3069,Barbados,0.0,1.52,0.0,0.0
3070,Barbados,0.0,1.92,0.0,0.0
3071,Barbados,0.0,1.67,0.0,0.0
3072,Barbados,0.0,1.67,0.0,0.0
3073,Barbados,0.0,1.53,0.0,0.0
3074,Barbados,0.0,1.4,0.0,0.0
3075,Barbados,0.0,1.28,0.0,0.0
3076,Barbados,0.0,2.09,0.0,0.0
3077,Barbados,0.0,1.6,0.0,0.0
3078,Barbados,0.0,1.7,0.0,0.0
3079,Barbados,0.0,1.54,0.0,0.0
3080,Barbados,0.0,2.01,0.0,0.0
3081,Brunei,0.0,1.56,0.0,0.0
3082,Brunei,0.0,1.47,0.0,0.0
3083,Brunei,0.0,1.5,0.0,0.0
3084,Brunei,0.0,1.29,0.0,0.0
3085,Brunei,0.0,1.6,0.0,0.0
3086,Brunei,0.0,1.36,0.0,0.0
3087,Brunei,0.0,2.07,0.0,0.0
3088,Brunei,0.0,1.25,0.0,0.0
3089,Brunei,0.0,1.49,0.0,0.0
3090,Brunei,0.0,1.49,0.0,0.0
3091,Brunei,0.0,1.43,0.0,0.0
3092,Bhutan,0.0,1.42,0.0,0.0
3093,Bhutan,0.0,1.68,0.0,0.0
3094,Bhutan,3497.77,1.49,2318.19,0.0
3095,Bhutan,3297.33,1.45,348.62,0.0
3096,Bhutan,2971.48,1.37,290.84,0.0
3097,Bhutan,633.78,1.42,249.82,0.0
3098,Bhutan,575.05,1.25,216.68,0.0
3099,Bhutan,476.78,1.37,182.02,0.0
3100,Bhutan,473.17,1.0,175.87,0.0
3101,Bhutan,495.72,1.4,171.1,0.0
3102,Bhutan,343.81,1.24,116.14,0.0
3103,Bhutan,323.82,1.53,87.46,0.0
3104,Bhutan,335.96,1.26,85.53,0.0
3105,Bhutan,335.87,1.11,58.73,0.0
3106,Bhutan,218.52,1.36,57.19,0.0
3107,Botswana,198.84,1.86,55.73,0.0
3108,Botswana,86.33,1.1,74.16,0.0
3109,Botswana,193.26,1.59,54.19,0.0
3110,Botswana,191.24,1.48,54.93,0.0
3111,Botswana,127.22,1.8,46.18,0.0
3112,Botswana,113.7,1.56,44.88,0.0
3113,Botswana,113.42,1.16,44.12,0.0
3114,Botswana,5.42,1.05,37.45,0.0
3115,Botswana,91.74,1.24,33.03,0.0
3116,Botswana,83.64,0.6,33.16,0.0
3117,Botswana,86.59,1.05,30.76,0.0
3118,Central African Republic,120.19,1.11,27.41,0.0
3119,Central African Republic,119.71,1.29,27.87,0.0
3120,Central African Republic,80.62,0.54,27.95,0.0
3121,Central African Republic,79.46,1.09,27.39,0.0
3122,Central African Republic,68.95,1.19,26.21,0.0
3123,Central African Republic,67.7,0.98,26.51,0.0
3124,Central African Republic,67.55,1.23,23.31,0.0
3125,Central African Republic,72.46,2.08,22.91,0.0
3126,Central African Republic,72.16,1.33,22.07,0.0
3127,Central African Republic,89.15,1.24,23.41,0.0
3128,Central African Republic,68.46,1.19,22.03,0.0
3129,Central African Republic,61.91,0.96,21.67,0.0
3130,Central African Republic,60.51,1.09,20.46,0.0
3131,Central African Republic,59.36,1.42,21.04,0.0
3132,Canada,48.12,1.08,18.39,0.0
3133,Switzerland,47.89,1.04,19.22,0.0
3134,Switzerland,57.14,1.12,21.47,0.0
3135,Switzerland,54.28,0.93,15.44,0.0
3136,Switzerland,55.07,1.06,18.06,0.0
3137,Chile,53.49,1.08,17.54,0.0
3138,Chile,51.39,0.87,18.67,0.0
3139,Chile,50.66,0.86,15.18,0.0
3140,China,45.47,0.63,16.48,0.0
3141,China,50.68,1.17,15.46,0.0
3142,Côte d'Ivoire,43.48,0.86,14.57,0.0
3143,Côte d'Ivoire,52.43,1.06,13.85,0.0
3144,Côte d'Ivoire,50.1,0.84,13.08,0.0
3145,Côte d'Ivoire,45.11,0.78,14.81,0.0
3146,Côte d'Ivoire,47.19,0.87,13.29,0.0
3147,Côte d'Ivoire,41.22,0.86,13.03,0.0
3148,Côte d'Ivoire,40.39,1.62,14.07,0.0
3149,Côte d'Ivoire,39.16,0.96,12.05,0.0
3150,Côte d'Ivoire,42.11,0.94,13.1,0.0
3151,Côte d'Ivoire,40.41,0.89,11.7,0.0
3152,Côte d'Ivoire,36.89,0.8,10.69,0.0
3153,Cameroon,36.94,0.97,11.33,0.0
3154,Cameroon,34.93,0.92,11.14,0.0
3155,Cameroon,26.74,0.91,11.47,0.0
3156,Cameroon,32.57,0.86,11.87,0.0
3157,Cameroon,33.6,0.8,11.53,0.0
3158,Cameroon,27.62,0.82,0.57,0.0
3159,Cameroon,26.8,1.17,10.31,0.0
3160,Cameroon,29.1,0.94,9.83,0.0
3161,Democratic Republic of the Congo,26.37,1.07,9.83,0.0
3162,Democratic Republic of the Congo,27.85,0.81,11.02,0.0
3163,Democratic Republic of the Congo,27.98,1.15,10.1,0.0
3164,Democratic Republic of the Congo,26.73,0.93,8.81,0.0
3165,Democratic Republic of the Congo,27.99,0.7,9.18,0.0
3166,Democratic Republic of the Congo,25.96,0.81,8.45,0.0
3167,Democratic Republic of the Congo,26.61,0.92,8.08,0.0
3168,Democratic Republic of the Congo,27.67,0.86,9.27,0.0
3169,Republic of Congo,21.02,0.86,8.46,0.0
3170,Republic of Congo,24.36,0.66,8.39,0.0
3171,Republic of Congo,26.1,1.43,8.12,0.0
3172,Republic of Congo,20.75,0.75,6.73,0.0
3173,Republic of Congo,24.21,0.79,7.51,0.0
3174,Republic of Congo,20.36,0.81,8.42,0.0
3175,Republic of Congo,25.42,0.79,7.65,0.0
3176,Republic of Congo,22.09,0.63,7.79,0.0
3177,Republic of Congo,20.61,0.72,7.31,0.0
3178,Cook Islands,21.16,0.92,8.43,0.0
3179,Cook Islands,22.06,0.78,7.01,0.0
3180,Cook Islands,19.86,0.87,6.19,0.0
3181,Cook Islands,21.91,1.17,7.58,0.0
3182,Cook Islands,20.26,0.74,9.33,0.0
3183,Cook Islands,21.87,0.64,6.97,0.0
3184,Cook Islands,20.83,0.72,6.33,0.0
3185,Cook Islands,19.68,0.7,6.34,0.0
3186,Cook Islands,18.34,0.71,6.43,0.0
3187,Cook Islands,19.73,0.59,6.1,0.0
3188,Cook Islands,18.78,0.71,5.86,0.0
3189,Cook Islands,19.69,0.7,7.18,0.0
3190,Cook Islands,19.58,0.63,6.23,0.0
3191,Cook Islands,19.29,2.35,5.64,0.0
3192,Cook Islands,17.97,0.64,5.86,0.0
3193,Cook Islands,16.95,0.77,5.78,0.0
3194,Colombia,18.0,0.35,5.94,0.0
3195,Colombia,16.8,0.64,5.41,0.0
3196,Comoros,17.18,0.63,0.85,0.0
3197,Comoros,17.78,0.6,5.56,0.0
3198,Comoros,17.61,0.68,5.09,0.0
3199,Comoros,15.97,0.51,6.36,0.0
3200,Comoros,14.77,0.66,5.09,0.0
3201,Comoros,16.05,0.68,4.94,0.0
3202,Comoros,16.39,0.46,4.64,0.0
3203,Comoros,15.96,0.56,4.79,0.0
3204,Comoros,18.27,0.62,5.03,0.0
3205,Comoros,14.4,0.56,5.53,0.0
3206,Comoros,15.96,0.63,4.55,0.0
3207,Comoros,14.41,0.64,4.9,0.0
3208,Comoros,14.52,0.59,3.52,0.0
3209,Comoros,15.73,0.61,4.45,0.0
3210,Comoros,13.84,0.63,4.21,0.0
3211,Comoros,13.36,0.76,3.53,0.0
3212,Cape Verde,16.85,0.61,4.32,0.0
3213,Cape Verde,13.21,0.59,4.36,0.0
3214,Cape Verde,13.61,0.58,4.12,0.0
3215,Cape Verde,12.87,0.33,3.87,0.0
3216,Cape Verde,13.92,0.63,3.79,0.0
3217,Cape Verde,13.16,0.52,3.7,0.0
3218,Cape Verde,11.72,0.69,3.55,0.0
3219,Cape Verde,13.16,0.6,3.82,0.0
3220,Cape Verde,12.43,0.6,3.76,0.0
3221,Cape Verde,11.18,0.54,3.67,0.0
3222,Cape Verde,10.82,0.45,3.46,0.0
3223,Cape Verde,11.47,0.54,3.52,0.0
3224,Cape Verde,12.44,0.63,4.2,0.0
3225,Cape Verde,10.87,0.53,3.5,0.0
3226,Cape Verde,12.04,0.7,3.38,0.0
3227,Cape Verde,10.92,0.39,2.12,0.0
3228,Costa Rica,10.33,0.41,3.19,0.0
3229,Costa Rica,10.24,0.62,3.35,0.0
3230,Costa Rica,9.81,0.55,3.29,0.0
3231,Costa Rica,10.9,0.44,4.02,0.0
3232,Costa Rica,10.23,1.09,3.51,0.0
3233,Costa Rica,10.43,0.56,3.14,0.0
3234,Cuba,10.24,0.53,3.27,0.0
3235,Cuba,8.48,0.51,3.4,0.0
3236,Cuba,0.53,0.53,2.94,0.0
3237,Cuba,9.22,0.5,3.27,0.0
3238,Cuba,9.19,0.52,3.16,0.0
3239,Cyprus,9.34,0.32,3.1,0.0
3240,Cyprus,9.67,0.47,3.1,0.0
3241,Cyprus,10.13,0.33,2.99,0.0
3242,Cyprus,8.83,0.49,2.92,0.0
3243,Cyprus,8.2,0.5,2.75,0.0
3244,Cyprus,8.57,0.49,3.2,0.0
3245,Cyprus,8.89,0.44,2.9,0.0
3246,Cyprus,7.56,0.41,2.94,0.0
3247,Cyprus,7.79,0.46,2.82,0.0
3248,Czech Republic,8.3,0.46,2.94,0.0
3249,Czech Republic,8.1,0.41,2.72,0.0
3250,Czech Republic,7.45,0.45,2.74,0.0
3251,Czech Republic,7.37,0.57,2.25,0.0
3252,Germany,7.82,0.45,2.56,0.0
3253,Germany,7.76,0.4,2.64,0.0
3254,Germany,7.41,0.42,2.6,0.0
3255,Djibouti,6.47,0.33,2.52,0.0
3256,Djibouti,5.36,0.3,2.46,0.0
3257,Djibouti,6.92,0.41,2.45,0.0
3258,Djibouti,6.38,0.44,2.37,0.0
3259,Djibouti,7.04,0.41,2.17,0.0
3260,Djibouti,7.12,0.43,3.14,0.0
3261,Djibouti,7.29,0.42,2.03,0.0
3262,Djibouti,6.82,0.58,2.13,0.0
3263,Djibouti,6.59,0.28,1.61,0.0
3264,Djibouti,6.88,0.41,2.39,0.0
3265,Djibouti,6.92,0.37,2.01,0.0
3266,Djibouti,4.98,0.39,1.98,0.0
3267,Djibouti,6.46,0.35,2.02,0.0
3268,Djibouti,6.25,0.37,1.83,0.0
3269,Djibouti,6.22,0.3,1.81,0.0
3270,Dominica,6.21,0.37,1.85,0.0
3271,Dominica,6.15,0.77,1.86,0.0
3272,Dominica,7.19,0.32,1.86,0.0
3273,Dominica,6.96,0.34,1.65,0.0
3274,Dominica,8.58,0.44,1.96,0.0
3275,Dominica,6.03,0.35,1.74,0.0
3276,Dominica,6.01,0.42,1.65,0.0
3277,Dominica,5.66,0.43,1.74,0.0
3278,Dominica,5.63,0.34,1.74,0.0
3279,Dominica,6.74,0.33,1.7,0.0
3280,Dominica,6.59,0.35,1.71,0.0
3281,Dominica,5.16,0.35,1.6,0.0
3282,Dominica,6.07,0.23,1.54,0.0
3283,Dominica,6.06,0.32,1.53,0.0
3284,Dominica,5.39,0.37,3.74,0.0
3285,Dominica,5.35,0.64,1.49,0.0
3286,Denmark,5.35,0.34,1.51,0.0
3287,Denmark,5.77,0.34,1.36,0.0
3288,Denmark,5.7,0.36,1.43,0.0
3289,Dominican Republic,5.13,0.31,1.39,0.0
3290,Dominican Republic,0.78,0.33,3.41,0.0
3291,Dominican Republic,4.76,0.31,1.36,0.0
3292,Dominican Republic,4.93,0.36,2.06,0.0
3293,Dominican Republic,5.03,0.32,1.41,0.0
3294,Dominican Republic,3.7,0.32,1.35,0.0
3295,Algeria,4.8,0.21,1.42,0.0
3296,Ecuador,5.85,0.28,1.37,0.0
3297,Ecuador,4.94,0.32,1.34,0.0
3298,Ecuador,4.19,0.29,1.2,0.0
3299,Ecuador,4.67,0.29,1.31,0.0
3300,Egypt,4.6,0.32,0.03,0.0
3301,Egypt,4.56,0.3,1.05,0.0
3302,Egypt,4.7,0.27,1.25,0.0
3303,Egypt,4.83,0.31,1.26,0.0
3304,Eritrea,4.51,0.3,1.29,0.0
3305,Eritrea,4.54,0.3,1.21,0.0
3306,Eritrea,4.39,0.42,1.53,0.0
3307,Eritrea,4.46,0.31,1.44,0.0
3308,Eritrea,4.36,0.28,1.2,0.0
3309,Eritrea,4.37,0.26,1.12,0.0
3310,Eritrea,4.72,0.3,1.19,0.0
3311,Eritrea,4.77,0.29,1.12,0.0
3312,Eritrea,4.77,0.26,1.22,0.0
3313,Eritrea,4.61,0.2,1.2,0.0
3314,Eritrea,3.62,0.2,0.78,0.0
3315,Eritrea,3.47,0.26,1.09,0.0
3316,Estonia,3.43,0.24,1.12,0.0
3317,Estonia,4.72,0.24,1.03,0.0
3318,Estonia,3.92,0.24,0.65,0.0
3319,Estonia,3.89,0.28,1.41,0.0
3320,Estonia,3.99,0.2,0.98,0.0
3321,Estonia,3.99,0.24,1.05,0.0
3322,Estonia,4.22,0.23,1.05,0.0
3323,Estonia,3.9,0.24,1.0,0.0
3324,Ethiopia,3.54,0.26,0.97,0.0
3325,Ethiopia,4.22,0.25,0.98,0.0
3326,Ethiopia,3.58,0.26,1.08,0.0
3327,Ethiopia,3.66,0.26,0.97,0.0
3328,Ethiopia,3.6,0.22,0.92,0.0
3329,Ethiopia,3.36,0.27,0.92,0.0
3330,Ethiopia,2.83,0.24,1.02,0.0
3331,Finland,2.68,0.25,0.91,0.0
3332,Finland,3.31,0.23,0.8,0.0
3333,Finland,2.64,0.23,0.78,0.0
3334,Finland,4.15,0.17,1.0,0.0
3335,Finland,3.86,0.22,0.75,0.0
3336,Fiji,3.02,0.22,0.86,0.0
3337,Fiji,3.01,0.22,0.85,0.0
3338,Fiji,3.38,0.21,0.86,0.0
3339,Fiji,2.97,0.23,0.85,0.0
3340,Fiji,3.15,0.2,0.83,0.0
3341,Fiji,2.98,0.21,0.84,0.0
3342,Fiji,1.95,0.25,0.61,0.0
3343,Fiji,3.0,0.28,0.96,0.0
3344,Fiji,3.02,0.23,0.78,0.0
3345,Fiji,2.97,0.17,0.81,0.0
3346,Fiji,2.97,0.2,0.76,0.0
3347,Fiji,2.97,0.17,0.77,0.0
3348,Fiji,2.8,0.23,0.84,0.0
3349,Fiji,2.7,0.13,1.39,0.0
3350,Micronesia,3.23,0.2,0.99,0.0
3351,Micronesia,3.01,0.18,0.46,0.0
3352,Micronesia,2.42,0.15,0.76,0.0
3353,Micronesia,2.74,0.18,0.74,0.0
3354,Micronesia,2.61,0.18,0.74,0.0
3355,Micronesia,2.6,0.18,0.71,0.0
3356,Micronesia,2.5,0.18,0.66,0.0
3357,Micronesia,2.49,0.17,0.42,0.0
3358,Micronesia,2.52,0.11,0.68,0.0
3359,Micronesia,2.45,0.15,0.74,0.0
3360,Micronesia,2.38,0.17,0.5,0.0
3361,Micronesia,2.54,0.14,0.65,0.0
3362,Micronesia,2.47,0.16,0.63,0.0
3363,Micronesia,2.36,0.15,0.58,0.0
3364,Micronesia,2.81,0.16,0.61,0.0
3365,Micronesia,2.21,0.14,0.59,0.0
3366,Gabon,2.34,0.18,0.28,0.0
3367,Gabon,2.21,0.16,0.63,0.0
3368,Gabon,2.21,0.15,0.6,0.0
3369,Gabon,2.13,0.14,0.58,0.0
3370,Gabon,2.24,0.15,0.58,0.0
3371,Gabon,2.09,0.16,0.58,0.0
3372,United Kingdom,2.06,0.14,0.58,0.0
3373,United Kingdom,1.81,0.14,0.56,0.0
3374,Georgia,1.79,0.14,0.31,0.0
3375,Georgia,1.9,0.23,0.56,0.0
3376,Georgia,1.97,0.09,0.56,0.0
3377,Georgia,2.05,0.13,0.56,0.0
3378,Georgia,0.06,0.14,0.37,0.0
3379,Georgia,1.81,0.12,0.52,0.0
3380,Georgia,1.69,0.12,0.49,0.0
3381,Georgia,1.69,0.13,0.48,0.0
3382,Ghana,1.76,0.08,0.57,0.0
3383,Ghana,1.77,0.12,0.52,0.0
3384,Ghana,1.68,0.11,0.46,0.0
3385,Ghana,1.84,0.13,0.5,0.0
3386,Ghana,1.65,0.11,0.47,0.0
3387,Guinea,1.7,0.12,0.52,0.0
3388,Guinea,3.48,0.03,0.48,0.0
3389,Guinea,1.84,0.05,0.46,0.0
3390,Guinea,1.38,0.06,0.38,0.0
3391,Guinea,1.48,0.08,0.46,0.0
3392,Guinea,1.46,0.11,0.46,0.0
3393,Guinea,1.5,0.11,0.46,0.0
3394,Guinea,1.46,0.11,0.51,0.0
3395,Guinea,1.43,0.09,0.44,0.0
3396,Guinea,1.53,0.1,0.43,0.0
3397,Guinea,1.52,0.08,0.44,0.0
3398,Guinea,1.4,0.06,0.44,0.0
3399,Guinea,3.43,0.1,0.43,0.0
3400,Gambia,1.46,0.09,0.39,0.0
3401,Gambia,1.42,0.07,0.42,0.0
3402,Gambia,1.45,0.06,0.42,0.0
3403,Gambia,1.46,0.13,0.47,0.0
3404,Gambia,1.27,0.09,0.39,0.0
3405,Gambia,1.28,0.09,0.41,0.0
3406,Gambia,1.59,0.09,0.43,0.0
3407,Gambia,1.42,0.08,0.41,0.0
3408,Gambia,1.41,0.09,0.38,0.0
3409,Gambia,1.9,0.09,0.42,0.0
3410,Gambia,1.25,0.09,0.39,0.0
3411,Gambia,1.36,0.08,0.38,0.0
3412,Gambia,1.08,0.08,0.39,0.0
3413,Gambia,1.26,0.08,0.38,0.0
3414,Gambia,1.22,0.07,0.39,0.0
3415,Guinea-Bissau,0.96,0.07,0.36,0.0
3416,Guinea-Bissau,1.14,0.06,0.39,0.0
3417,Guinea-Bissau,1.15,0.08,0.39,0.0
3418,Guinea-Bissau,1.35,0.1,0.35,0.0
3419,Guinea-Bissau,0.88,0.07,0.05,0.0
3420,Guinea-Bissau,1.06,0.07,0.34,0.0
3421,Guinea-Bissau,1.15,0.09,0.36,0.0
3422,Guinea-Bissau,1.08,0.07,0.4,0.0
3423,Guinea-Bissau,1.05,0.06,0.35,0.0
3424,Guinea-Bissau,1.1,0.07,0.37,0.0
3425,Guinea-Bissau,1.16,0.07,0.37,0.0
3426,Guinea-Bissau,1.02,0.13,0.5,0.0
3427,Guinea-Bissau,1.1,0.04,0.36,0.0
3428,Guinea-Bissau,1.05,0.07,0.59,0.0
3429,Equatorial Guinea,1.13,0.06,0.34,0.0
3430,Equatorial Guinea,1.07,0.08,0.35,0.0
3431,Equatorial Guinea,1.0,0.09,0.35,0.0
3432,Equatorial Guinea,1.02,0.09,0.38,0.0
3433,Equatorial Guinea,1.02,0.06,0.36,0.0
3434,Equatorial Guinea,0.59,0.05,0.35,0.0
3435,Equatorial Guinea,1.1,0.05,0.35,0.0
3436,Equatorial Guinea,1.05,0.06,0.39,0.0
3437,Equatorial Guinea,0.94,0.06,0.33,0.0
3438,Equatorial Guinea,0.99,0.06,0.23,0.0
3439,Equatorial Guinea,0.98,0.07,0.34,0.0
3440,Equatorial Guinea,1.29,0.07,0.3,0.0
3441,Greece,0.9,0.04,0.33,0.0
3442,Greece,1.0,0.07,0.26,0.0
3443,Grenada,1.02,0.05,0.28,0.0
3444,Grenada,0.94,0.06,0.31,0.0
3445,Grenada,0.88,0.05,0.31,0.0
3446,Grenada,0.92,0.04,0.31,0.0
3447,Grenada,0.92,0.03,0.31,0.0
3448,Grenada,0.9,0.05,0.3,0.0
3449,Grenada,0.92,0.05,0.31,0.0
3450,Grenada,0.87,0.05,0.28,0.0
3451,Grenada,0.93,0.04,0.27,0.0
3452,Grenada,0.85,0.05,0.3,0.0
3453,Grenada,0.83,0.05,0.29,0.0
3454,Grenada,0.92,0.08,0.28,0.0
3455,Grenada,0.87,0.05,0.3,0.0
3456,Grenada,0.81,0.05,0.32,0.0
3457,Grenada,0.76,0.05,0.28,0.0
3458,Grenada,0.71,0.04,0.28,0.0
3459,Guatemala,0.82,0.04,0.25,0.0
3460,Guatemala,0.79,0.04,0.29,0.0
3461,Guatemala,0.85,0.03,0.26,0.0
3462,Guatemala,0.91,0.04,0.28,0.0
3463,Guatemala,0.73,0.04,0.25,0.0
3464,Guatemala,0.8,0.04,0.43,0.0
3465,Guyana,0.86,0.04,0.27,0.0
3466,Guyana,0.78,0.05,0.26,0.0
3467,Guyana,0.73,0.04,0.46,0.0
3468,Guyana,1.28,0.05,0.23,0.0
3469,Guyana,0.7,0.05,0.25,0.0
3470,Guyana,0.71,0.02,0.25,0.0
3471,Guyana,0.69,0.03,0.3,0.0
3472,Guyana,0.43,0.03,0.26,0.0
3473,Guyana,0.71,0.03,0.23,0.0
3474,Honduras,0.68,0.02,0.26,0.0
3475,Honduras,0.65,0.06,0.24,0.0
3476,Honduras,0.76,0.03,0.24,0.0
3477,Honduras,0.59,0.04,0.23,0.0
3478,Honduras,0.84,0.03,0.25,0.0
3479,Croatia,0.65,0.05,0.2,0.0
3480,Croatia,0.64,0.03,0.25,0.0
3481,Croatia,0.74,0.03,0.22,0.0
3482,Croatia,0.61,0.02,0.23,0.0
3483,Croatia,0.59,0.03,0.2,0.0
3484,Croatia,0.62,0.03,0.24,0.0
3485,Haiti,0.61,0.03,0.21,0.0
3486,Haiti,0.61,0.03,0.16,0.0
3487,Haiti,0.59,0.01,0.19,0.0
3488,Haiti,0.57,0.01,0.21,0.0
3489,Haiti,0.26,0.01,0.2,0.0
3490,Haiti,0.55,0.05,0.21,0.0
3491,Haiti,0.59,0.01,0.22,0.0
3492,Haiti,0.54,0.02,0.21,0.0
3493,Haiti,0.28,0.01,0.18,0.0
3494,Haiti,0.46,0.02,0.25,0.0
3495,Haiti,0.5,0.03,0.21,0.0
3496,Hungary,0.49,0.02,0.21,0.0
3497,Hungary,0.36,0.02,0.14,0.0
3498,Hungary,0.47,0.02,0.21,0.0
3499,Hungary,0.46,0.02,0.2,0.0
3500,Indonesia,0.48,0.02,0.2,0.0
3501,India,0.47,0.02,0.21,0.0
3502,Ireland,0.46,0.02,0.2,0.0
3503,Ireland,0.46,0.02,0.21,0.0
3504,Ireland,0.41,0.01,0.2,0.0
3505,Ireland,0.45,0.01,0.19,0.0
3506,Ireland,0.46,0.01,0.17,0.0
3507,Iran,0.35,0.0,0.2,0.0
3508,Iran,0.44,0.01,0.17,0.0
3509,Iran,0.43,0.0,0.15,0.0
